State,County,CD #,"CD Pop. in County","% of County in CD"
CA,Mono,8,"14,202",100.00%
CA,Monterey,20,"415,057",100.00%
CA,Napa,5,"136,484",100.00%
CA,Nevada,1,"82,378",83.40%
CA,Nevada,4,"16,386",16.60%
CA,Orange,38,"15,571",0.50%
CA,Orange,39,"432,280",14.40%
CA,Orange,45,"702,921",23.40%
CA,Orange,46,"702,942",23.40%
CA,Orange,47,"289,844",9.60%
CA,Orange,48,"702,916",23.40%
CA,Orange,49,"163,758",5.40%
CA,Placer,1,"44,792",12.90%
CA,Placer,4,"303,640",87.10%
CA,Plumas,1,"20,007",100.00%
CA,Riverside,36,"702,905",32.10%
CA,Riverside,41,"702,967",32.10%
CA,Riverside,42,"702,847",32.10%
CA,Riverside,50,"80,922",3.70%
CA,Sacramento,3,"35,921",2.50%
CA,Sacramento,6,"654,118",46.10%
CA,Sacramento,7,"702,917",49.50%
CA,Sacramento,9,"25,832",1.80%
CA,San Benito,20,"55,269",100.00%
CA,San Bernardino,8,"670,153",32.90%
CA,San Bernardino,27,"32,881",1.60%
CA,San Bernardino,31,"702,909",34.50%
CA,San Bernardino,35,"553,847",27.20%
CA,San Bernardino,39,"75,420",3.70%
CA,San Diego,49,"539,146",17.40%
CA,San Diego,50,"621,981",20.10%
CA,San Diego,51,"528,378",17.10%
CA,San Diego,52,"702,904",22.70%
CA,San Diego,53,"702,904",22.70%
CA,San Francisco,12,"702,905",87.30%
CA,San Francisco,14,"102,330",12.70%
CA,San Joaquin,9,"496,854",72.50%
CA,San Joaquin,10,"188,452",27.50%
CA,San Luis Obispo,24,"269,637",100.00%
CA,San Mateo,14,"600,575",83.60%
CA,San Mateo,18,"117,876",16.40%
CA,Santa Barbara,24,"423,895",100.00%
CA,Santa Clara,17,"523,513",29.40%
CA,Santa Clara,18,"535,700",30.10%
CA,Santa Clara,19,"702,904",39.50%
CA,Santa Clara,20,"19,525",1.10%
CA,Santa Cruz,18,"49,327",18.80%
CA,Santa Cruz,20,"213,055",81.20%
CA,Shasta,1,"177,223",100.00%
CA,Sierra,1,"3,240",100.00%
CA,Siskiyou,1,"44,900",100.00%
CA,Solano,3,"267,184",64.60%
CA,Solano,5,"146,160",35.40%
CA,Sonoma,2,"185,636",38.40%
CA,Sonoma,5,"298,242",61.60%
CA,Stanislaus,10,"514,453",100.00%
CA,Sutter,3,"94,737",100.00%
CA,Tehama,1,"63,463",100.00%
CA,Trinity,2,"13,786",100.00%
CA,Tulare,21,"34,755",7.90%
CA,Tulare,22,"313,512",70.90%
CA,Tulare,23,"93,912",21.20%
CA,Tuolumne,4,"55,365",100.00%
CA,Ventura,24,"9,372",1.10%
CA,Ventura,25,"117,262",14.20%
